Experiment 1,,,,,,,,,,,,,,,,Experiment 2,,,,,,,,,,,
Diluent,Nominal Fraction Unfiltered Water,? (d-1),,,,,,,,,,,,,,Diluent,Treatment,Nominal Fraction Unfiltered Water,? (d-1),,,,,,,,
,,Replicate 1,,Replicate 2,,Replicate 3,,Average,,RSD,,,,,,,,,Replicate 1,,Replicate 2,,Replicate 3,,Average,,RSD
Atlantic Shelf,,,,,,,,,,,,,,,,Atlantic Shelf,,,,,,,,,,,
0.2 µm Prefiltered Water,0.1,0.249,±0.145,0.399,±0.145,0.508,±0.145,0.385,±0.130,34%,,,,,,GFF (0.7 µm) Prefiltered Water,Control,0.1,0.784,±0.090,0.740,±0.090,0.936,±0.090,0.820,±0.103,13%
,0.15,0.556,±0.139,0.661,±0.139,0.405,±0.139,0.541,±0.128,24%,,,,,,,+ F/200 Vitamins,0.1,0.939,±0.112,1.001,±0.112,0.797,±0.112,0.913,±0.105,11%
,0.25,0.763,±0.051,0.813,±0.051,0.754,±0.051,0.777,±0.032,4.1%,,,,,,,Control,0.25,0.830,±0.126,1.152,±0.126,1.047,±0.126,1.010,±0.164,16%
,0.5,0.570,±0.074,0.686,±0.074,0.725,±0.074,0.660,±0.081,12%,,,,,,,+ F/200 Vitamins,0.25,1.020,±0.078,0.895,±0.078,0.822,±0.078,0.912,±0.100,11%
GFF (0.7 µm) Prefiltered Water,0.1,0.744,±0.254,1.226,±0.254,0.863,±0.254,0.944,±0.251,27%,,,,,,,Control,0.5,1.155,±0.044,1.078,±0.044,1.090,±0.044,1.108,±0.041,3.7%
,0.15,0.863,±0.078,0.711,±0.078,0.716,±0.078,0.763,±0.086,11%,,,,,,,+ F/200 Vitamins,0.5,1.043,±0.037,1.040,±0.037,1.117,±0.037,1.067,±0.044,4.1%
,0.25,0.837,±0.066,0.822,±0.066,0.736,±0.066,0.798,±0.054,6.8%,,,,,,Major Ion Solution,Control,0.1,0.348,±0.539,0.394,±0.539,1.270,±0.539,0.671,±0.519,77%
,0.5,0.738,±0.044,0.735,±0.044,0.644,±0.044,0.705,±0.053,7.6%,,,,,,,+ F/200 Vitamins,0.1,1.895,±0.043,1.848,±0.043,1.862,±0.043,1.869,±0.024,1.3%
Major Ion Solution,0.1,1.878,±0.121,2.215,±0.121,2.019,±0.121,2.037,±0.17,8.3%,,,,,,,Control,0.25,1.558,±0.085,1.769,±0.085,1.691,±0.085,1.673,±0.107,6.4%
,0.15,2.013,±0.231,1.631,±0.231,1.972,±0.231,1.872,±0.21,11%,,,,,,,+ F/200 Vitamins,0.25,1.592,±0.100,1.807,±0.100,1.764,±0.100,1.721,±0.114,6.6%
,0.25,1.960,±0.067,2.120,±0.067,2.127,±0.067,2.069,±0.09,4.6%,,,,,,,Control,0.5,1.361,±0.115,1.087,±0.115,1.177,±0.115,1.208,±0.140,12%
,0.5,1.755,±0.048,1.665,±0.048,1.700,±0.048,1.707,±0.05,2.6%,,,,,,,+ F/200 Vitamins,0.5,1.295,±0.051,1.326,±0.051,1.300,±0.051,1.307,±0.017,1.3%
Undiluted,1,0.440,±0.100,0.297,±0.100,0.577,±0.100,0.438,±0.140,32%,,,,,,No Dilution,Control,1,0.687,±0.055,0.594,±0.055,0.619,±0.055,0.634,±0.048,7.6%
Pamlico Sound,,,,,,,,,,,,,,,,,+ F/200 Vitamins,1,0.626,±0.073,0.661,±0.073,0.798,±0.073,0.695,±0.091,13%
0.2 µm Prefiltered Water,0.1,0.922,±0.054,0.985,±0.054,1.019,±0.054,0.976,±0.049,5.0%,,,,,,Pamlico Sound,,,,,,,,,,,
,0.15,0.929,±0.070,0.790,±0.070,0.896,±0.070,0.872,±0.072,8.3%,,,,,,GFF (0.7 µm) Prefiltered Water,Control,0.1,0.782,±0.029,0.760,±0.029,0.797,±0.029,0.780,±0.019,2.4%
,0.25,0.803,±0.120,0.857,±0.120,0.920,±0.120,0.860,±0.059,6.8%,,,,,,,+ F/200 Vitamins,0.1,0.728,±0.042,0.800,±0.042,0.754,±0.042,0.761,±0.037,4.8%
,0.5,0.895,±0.075,0.759,±0.075,0.821,±0.075,0.825,±0.068,8.3%,,,,,,,Control,0.25,0.301,±0.031,0.340,±0.031,0.304,±0.031,0.315,±0.021,6.8%
GFF (0.7 µm) Prefiltered Water,0.1,0.886,±0.133,0.813,±0.133,0.903,±0.133,0.867,±0.048,5.5%,,,,,,,+ F/200 Vitamins,0.25,0.322,±0.047,0.387,±0.047,0.316,±0.047,0.342,±0.040,11.6%
,0.15,0.960,±0.049,0.846,±0.049,0.955,±0.049,0.921,±0.064,7.0%,,,,,,,Control,0.5,0.004,±0.078,0.026,±0.078,-0.051,±0.078,-0.007,±0.040,590%
,0.25,0.937,±0.063,0.769,±0.063,0.825,±0.063,0.844,±0.086,10%,,,,,,,+ F/200 Vitamins,0.5,-0.007,±0.054,0.048,±0.054,-0.100,±0.054,-0.020,±0.075,383%
,0.5,0.857,±0.100,0.791,±0.100,0.691,±0.100,0.779,±0.084,11%,,,,,,Major Ion Solution,Control,0.1,0.288,±0.067,0.277,±0.067,0.187,±0.067,0.250,±0.056,22%
