Experiment 1,,,,,,,,,,,,,Experiment 2,,,,,,,,,,,
Diluent,Nominal Fraction Unfiltered Water,Apparent Fraction Unfiltered Water ,,,,,,,,RSD of T0 Chla,,,Diluent,Treatment,Nominal Fraction Unfiltered Water,Apparent Fraction Unfiltered Water ,,,,,,,,RSD of T0 Chla
,,Replicate 1,,Replicate 2,,Replicate 3,,Average,,,,,,,,Replicate 1,,Replicate 2,,Replicate 3,,Average,,
Atlantic Shelf Method,,,,,,,,,,,,,,,,Atlantic Shelf Vitamin,,,,,,,,
0.2 µm Prefiltered Water,0.1,0.270,0.083,0.176,0.054,0.168,0.052,0.205,0.063,28%,,,GFF (0.7 µm) Prefiltered Water,Control,0.1,0.10,0.02,0.09,0.01,0.07,0.01,0.09,0.014,14%
,0.15,0.215,0.065,0.198,0.060,0.319,0.096,0.244,0.073,27%,,,,+ F/200 Vitamins,0.1,0.11,0.02,0.11,0.02,0.10,0.02,0.10,0.022,18%
,0.25,0.258,0.041,0.252,0.040,0.294,0.046,0.268,0.042,8.4%,,,,Control,0.25,0.26,0.02,0.19,0.02,0.19,0.02,0.22,0.020,7.4%
,0.5,0.478,0.071,0.491,0.073,0.433,0.064,0.467,0.070,6.6%,,,,+ F/200 Vitamins,0.25,0.22,0.02,0.27,0.03,0.29,0.03,0.26,0.029,2.6%
GF/F Prefiltered Water,0.1,0.100,0.014,0.093,0.013,0.093,0.013,0.095,0.013,4.7%,,,,Control,0.5,0.48,0.08,0.52,0.08,0.56,0.09,0.52,0.082,15%
,0.15,0.138,0.036,0.145,0.038,0.093,0.024,0.125,0.033,23%,,,,+ F/200 Vitamins,0.5,0.55,0.06,0.52,0.06,0.51,0.06,0.53,0.061,3.6%
,0.25,0.233,0.042,0.216,0.039,0.274,0.049,0.241,0.044,12%,,,Major Ion Solution,Control,0.1,0.09,0.01,0.09,0.01,0.09,0.01,0.09,0.005,0.82%
,0.5,0.462,0.071,0.444,0.068,0.513,0.079,0.473,0.073,7.6%,,,,+ F/200 Vitamins,0.1,0.09,0.02,0.09,0.02,0.10,0.02,0.09,0.017,15%
MIS,0.1,0.082,0.020,0.054,0.013,0.070,0.017,0.069,0.017,20%,,,,Control,0.25,0.23,0.03,0.18,0.03,0.18,0.03,0.20,0.028,13%
,0.15,0.108,0.052,0.250,0.119,0.136,0.065,0.165,0.079,46%,,,,+ F/200 Vitamins,0.25,0.29,0.04,0.21,0.03,0.21,0.03,0.24,0.030,6.5%
,0.25,0.233,0.038,0.204,0.033,0.198,0.032,0.212,0.034,9.0%,,,,Control,0.5,0.36,0.07,0.43,0.09,0.47,0.10,0.42,0.085,19%
,0.5,0.493,0.073,0.538,0.079,0.478,0.070,0.503,0.074,6.2%,,,,+ F/200 Vitamins,0.5,0.50,0.06,0.55,0.07,0.54,0.07,0.53,0.065,5.7%
No Dilution,1,Undiluted Average T0 Chl a (µg/L),,,,,,0.16,0.02,13%,,,No Dilution,Control,1,Undiluted Average,,,,,,0.54,0.03,5.8%
Pamlico Sound Method,,,,,,,,,,,,,,+ F/200 Vitamins,1,Undiluted + F/200 Vitamins Average,,,,,,0.46,0.05,11%
0.2 µm Prefiltered Water,0.1,0.06,0.006,0.06,0.006,0.05,0.005,0.06,0.006,8.2%,,,,,,Pamlico Sound Vitamin,,,,,,,,
,0.15,0.12,0.007,0.12,0.007,0.12,0.007,0.12,0.007,1.2%,,,GFF (0.7 µm) Prefiltered Water,Control,0.1,0.12,0.01,0.12,0.01,0.12,0.01,0.12,0.007,2.1%
,0.25,0.18,0.031,0.22,0.039,0.16,0.029,0.19,0.033,17%,,,,+ F/200 Vitamins,0.1,0.12,0.01,0.10,0.01,0.11,0.01,0.11,0.013,3.7%
,0.5,0.43,0.037,0.44,0.037,0.49,0.041,0.45,0.038,6.5%,,,,Control,0.25,0.30,0.01,0.29,0.01,0.28,0.01,0.29,0.010808712,6.8%
GF/F Prefiltered Water,0.1,0.08,0.012,0.06,0.009,0.08,0.012,0.07,0.011,14%,,,,+ F/200 Vitamins,0.25,0.28,0.01,0.26,0.01,0.25,0.01,0.26,0.012503401,7.9%
,0.15,0.11,0.024,0.12,0.027,0.08,0.017,0.10,0.023,22%,,,,Control,0.5,0.57,0.04,0.57,0.04,0.50,0.03,0.55,0.037034705,4.8%
,0.25,0.20,0.023,0.25,0.028,0.23,0.025,0.23,0.025,9.8%,,,,+ F/200 Vitamins,0.5,0.49,0.03,0.46,0.03,0.52,0.03,0.49,0.030253263,6.2%
,0.5,0.50,0.037,0.52,0.039,0.47,0.035,0.50,0.037,5.2%,,,Major Ion Solution,Control,0.1,0.11,0.01,0.10,0.00,0.10,0.01,0.10,0.00520023,5.2%
MIS,0.1,0.05,0.004,0.05,0.004,0.06,0.005,0.05,0.004,6.2%,,,,+ F/200 Vitamins,0.1,0.11,0.00,0.10,0.00,0.11,0.00,0.11,0.002408878,4.9%
,0.15,0.12,0.025,0.14,0.028,0.09,0.019,0.12,0.024,20%,,,,Control,0.25,0.23,0.01,0.25,0.01,0.25,0.01,0.24,0.01191783,2.4%
,0.25,0.18,0.022,0.19,0.023,0.15,0.019,0.18,0.021,11%,,,,+ F/200 Vitamins,0.25,0.26,0.02,0.26,0.02,0.29,0.02,0.27,0.01887097,2.3%
,0.5,0.35,0.024,0.37,0.025,0.38,0.026,0.37,0.025,4.3%,,,,Control,0.5,0.51,0.01,0.50,0.01,0.52,0.01,0.51,0.012102075,7.0%
No Dilution,1,Undiluted Average,,,,,,3.81,0.20,5.4%,,,,+ F/200 Vitamins,0.5,0.48,0.03,0.53,0.03,0.53,0.03,0.51,0.027934834,5.4%
