Experiment 1,,,,,,,,,,,,,,,,Experiment 2,,,,,,,,,,,,,,Zeros
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluent,Nominal Fraction Unfiltered Water,chl-a concentration (?g/L),,,,,,,,,,,,,,Diluent,Treatment,Nominal Fraction Unfiltered Water,chl-a concentration (?g/L),,,,,,,,,,,
,,t = 0,,,,,,t = 2 d,,,,,,,,,,,t = 0,,,,,,t = 2 d,,,,,
,,Replicate 1,Replicate 2,Replicate 3,Average,,RSD,Replicate 1,Replicate 2,Replicate 3,Average,,RSD,,,,,,Replicate 1,Replicate 2,Replicate 3,Average,,RSD,Replicate 1,Replicate 2,Replicate 3,Average,,RSD
Atlantic Shelf,,,,,,,,,,,,,,,,Atlantic Shelf Vitamin,,,,,,,,,,,,,,
0.2 µm Prefiltered Water,0.1,0.044,0.029,0.027,0.033,±0.009,28%,0.072,0.063,0.075,0.070,±0.006,8.8%,,,GFF (0.7 µm) Prefiltered Water,Control,0.1,0.053,0.048,0.040,0.047,±0.007,14%,0.254,0.211,0.258,0.241,±0.026,11%
,0.15,0.035,0.032,0.052,0.039,±0.011,27%,0.106,0.120,0.116,0.114,±0.007,6.5%,,,,+ F/200 Vitamins,0.1,0.048,0.049,0.046,0.048,±0.001,2.6%,0.316,0.361,0.228,0.302,±0.067,22%
,0.25,0.042,0.041,0.048,0.043,±0.004,8.4%,0.192,0.207,0.215,0.205,±0.011,5.6%,,,,Control,0.25,0.142,0.105,0.105,0.117,±0.021,18%,0.745,1.048,0.849,0.881,±0.154,17%
,0.5,0.077,0.080,0.070,0.076,±0.005,6.6%,0.242,0.313,0.298,0.284,±0.038,13%,,,,+ F/200 Vitamins,0.25,0.099,0.124,0.133,0.119,±0.017,15%,0.764,0.743,0.687,0.731,±0.040,5.4%
GFF (0.7 µm) Prefiltered Water,0.1,0.016,0.015,0.015,0.015,±0.001,4.7%,0.072,0.174,0.084,0.110,±0.056,51%,,,,Control,0.5,0.259,0.280,0.300,0.280,±0.021,7.4%,2.606,2.420,2.652,2.559,±0.123,4.8%
,0.15,0.022,0.024,0.023,0.023,±0.001,2.7%,0.125,0.098,0.096,0.106,±0.016,15%,,,,+ F/200 Vitamins,0.5,0.251,0.240,0.233,0.241,±0.009,3.6%,2.018,1.921,2.181,2.040,±0.131,6.4%
,0.25,0.038,0.035,0.044,0.039,±0.005,12%,0.201,0.181,0.193,0.192,±0.010,5.3%,,,Major Ion Solution,Control,0.1,0.047,0.047,0.046,0.047,±0.000,0.82%,0.094,0.103,0.587,0.262,±0.282,108%
,0.5,0.075,0.072,0.083,0.077,±0.006,7.6%,0.327,0.312,0.301,0.313,±0.013,4.2%,,,,+ F/200 Vitamins,0.1,0.039,0.041,0.045,0.042,±0.003,6.5%,1.741,1.653,1.852,1.749,±0.100,5.7%
Major Ion Solution,0.1,0.013,0.009,0.011,0.011,±0.002,20%,0.566,0.735,0.638,0.646,±0.085,13%,,,,Control,0.25,0.125,0.096,0.099,0.107,±0.016,15%,2.811,3.311,2.925,3.016,±0.262,8.7%
,0.15,0.018,0.041,0.022,0.027,±0.012,46%,0.980,1.057,1.135,1.057,±0.077,7.3%,,,,+ F/200 Vitamins,0.25,0.134,0.096,0.098,0.109,±0.021,19%,3.227,3.562,3.336,3.375,±0.171,5.1%
,0.25,0.038,0.033,0.032,0.034,±0.003,9.0%,1.902,2.293,2.253,2.149,±0.215,10%,,,,Control,0.5,0.195,0.230,0.253,0.226,±0.029,13%,2.967,2.019,2.666,2.551,±0.484,19%
